 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     440.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.13924E+03  0.13665E+03 -0.13924E+03  0.13353E+03 -0.45894E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.19136E+03  0.52113E+02    451  0.00000E+00      0.000
     450.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.14241E+03  0.13975E+03 -0.14241E+03  0.13656E+03 -0.47195E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.19571E+03  0.53297E+02    461  0.00000E+00      0.000
     460.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.14557E+03  0.14286E+03 -0.14557E+03  0.13960E+03 -0.48496E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.20005E+03  0.54482E+02    471  0.00000E+00      0.000
     470.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.14874E+03  0.14596E+03 -0.14874E+03  0.14263E+03 -0.49797E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.20440E+03  0.55666E+02    481  0.00000E+00      0.000
     480.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.15190E+03  0.14907E+03 -0.15190E+03  0.14567E+03 -0.51099E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.20875E+03  0.56851E+02    491  0.00000E+00      0.000
     490.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.15507E+03  0.15218E+03 -0.15507E+03  0.14870E+03 -0.52400E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.21310E+03  0.58035E+02    501  0.00000E+00      0.000
     500.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.15823E+03  0.15528E+03 -0.15823E+03  0.15173E+03 -0.53701E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.21745E+03  0.59219E+02    511  0.00000E+00      0.000
     510.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.16140E+03  0.15839E+03 -0.16140E+03  0.15477E+03 -0.55002E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.22180E+03  0.60404E+02    521  0.00000E+00      0.000
     520.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.16456E+03  0.16149E+03 -0.16456E+03  0.15780E+03 -0.56303E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.22615E+03  0.61588E+02    531  0.00000E+00      0.000
     530.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.16772E+03  0.16460E+03 -0.16772E+03  0.16084E+03 -0.57604E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.23050E+03  0.62773E+02    541  0.00000E+00      0.000
