 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  23   -26.4000     -68.610 0.3399   0.3927E+00  0.8524E-03 -0.1948E+00  0.4037E-02      -1  -0.187E-01    0.00  0.5189E-24  0.0000E+00
  24   -27.6000     -67.993 0.3404   0.3996E+00  0.8559E-03 -0.1900E+00  0.3986E-02      -1  -0.182E-01    0.00  0.1225E-23  0.0000E+00
  25   -28.8000     -67.351 0.3410   0.4068E+00  0.8596E-03 -0.1853E+00  0.3934E-02      -1  -0.177E-01    0.00  0.2902E-23  0.0000E+00
  26   -30.0000     -66.686 0.3416   0.4142E+00  0.8634E-03 -0.1806E+00  0.3882E-02      -1  -0.173E-01    0.00  0.6900E-23  0.0000E+00
  27   -31.2000     -65.998 0.3421   0.4219E+00  0.8673E-03 -0.1760E+00  0.3830E-02      -1  -0.169E-01    0.00  0.1647E-22  0.0000E+00
  28   -32.4000     -65.287 0.3428   0.4299E+00  0.8714E-03 -0.1714E+00  0.3778E-02      -1  -0.164E-01    0.00  0.3944E-22  0.0000E+00
  29   -33.6000     -64.555 0.3434   0.4381E+00  0.8755E-03 -0.1669E+00  0.3727E-02      -1  -0.160E-01    0.00  0.9482E-22  0.0000E+00
  30   -34.8000     -63.801 0.3440   0.4465E+00  0.8798E-03 -0.1625E+00  0.3675E-02      -1  -0.156E-01    0.00  0.2288E-21  0.0000E+00
  31   -36.0000     -63.223 0.3501   0.1717E+00  0.8636E-03 -0.1581E+00  0.3623E-02      -1  -0.151E-01    0.00  0.5541E-21  0.0000E+00
  32   -37.2000     -63.111 0.3502   0.1722E+00  0.8643E-03 -0.1538E+00  0.3571E-02      -1  -0.147E-01    0.00  0.1289E-20  0.0000E+00
  33   -38.4000     -62.966 0.3503   0.1729E+00  0.8654E-03 -0.1495E+00  0.3520E-02      -1  -0.143E-01    0.00  0.2985E-20  0.0000E+00
  34   -39.6000     -62.787 0.3504   0.1736E+00  0.8667E-03 -0.1453E+00  0.3468E-02      -1  -0.139E-01    0.00  0.6924E-20  0.0000E+00
